product_name,brand,category,price,source
Nocciolata,Rigoni Di Asiago,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao",,openfoodfacts
Le Lait demi écrémé,Jaouda,"Produits laitiers,Laits,Laits homogénéisés,Laits demi-écrémés,Laits UHT,Laits de vache",,openfoodfacts
Menguy's Peanut 100%,menguy's,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Spreads,Nuts and their products,Plant-based spreads,Oilseed purees,Legume butters,Peanut butters",,openfoodfacts
,aïn Saiss,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux minérales naturelles",,openfoodfacts
Croustillant Chocolat,Bjorg,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Céréales pour petit déjeuner riches en fibres,Pépites de céréales croustillantes,Pépites de céréales au chocolat",,openfoodfacts
Pesto alla Genovese,Barilla,"Condiments,Sauces,Sauces pour pâtes,Sauces Pesto,en:Cooking Sauces,Pestos au basilic",,openfoodfacts
Frommage fondu,REWE Beste Wahl,"Dairies, Fermented foods, Fermented milk products, Cheeses, fr:121314, fr:Aliments-laitiers, en:melted-cheese",,openfoodfacts
Pomme Noisette,Gerblé,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Dry biscuits",,openfoodfacts
Margarine bio doux tartine & cuisson,Primevère,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Matières grasses,Produits à tartiner,Pâtes à tartiner végétales,Produits à tartiner salés,Matières grasses végétales,Matières grasses à tartiner,Margarines,Margarines allégées",,openfoodfacts
Ciel,THE COCA-COLA COMPANY,"Boissons,Eaux,Boissons sans alcool",,openfoodfacts
jaouda Cremy,jaouda,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts",,openfoodfacts
Figue & son,Gerblé,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,fr:Biscuits au son de blé,fr:Biscuits au son de blé et la figue",,openfoodfacts
Tartine Doux,Primevère,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner salés, Matières grasses à tartiner, Matières grasses végétales, Margarines, Margarines allégées",,openfoodfacts
Assil vanille,Danone,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",,openfoodfacts
Ain Saiss Eau Minerale Naturelle,Danone,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales",,openfoodfacts
Jebli,"Centrale, Danone, Jebli","منتجات`الألبان, الأطعمة المخمرة, en:Fermented milk products, en:Spreads, جبن, en:Salted spreads, en:Cheese spreads, en:Cream cheeses",,openfoodfacts
Pâte à tartiner noisettes et cacao,Bonne Maman,"Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads",,openfoodfacts
Coke ZERO,Coca-Cola,"Boissons et préparations de boissons,Boissons,Boissons gazeuses,Boissons édulcorées,Sodas,Boissons light,Boissons sans alcool,Sodas au cola,Sodas light,Sodas au cola light",,openfoodfacts
Carré Frais,Elle & Vire,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Fromages,Fromages à la crème,en:fromages-à-la-crème,en:produits-fermentés,en:produits-laitiers-fermentés",,openfoodfacts
tartine de campagne,la Boulangère,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains de campagne, Pain de mie de campagne",,openfoodfacts
,lilia,"Plant-based foods and beverages,Dairies,Plant-based foods,Fats,Spreads,Plant-based spreads,Salted spreads,Vegetable fats,Spreadable fats,Animal fats,Dairy spreads,Margarines,Milkfat,Butters",,openfoodfacts
ain saiss 50cl,عين سايس,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales",,openfoodfacts
كيفير,Jaouda,"Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Yogurts, en:kefir",,openfoodfacts
Coca-Cola,Coca-Cola,"Bevande e preparati per bevande,Bevande,Bevande effervescente,Bibite gassate,Bibite gassate senza succo di frutta,Cola,Bibite gassate zuccherate senza succo di frutta,Bevande zuccherate",,openfoodfacts
Jamila رايبي,Danone,"Beverages and beverages preparations,Beverages,Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Fermented dairy desserts with fruits,Fermented milk drinks,Yogurts,Fruit yogurts,Yogurt drinks",,openfoodfacts
Galletas fibra zero azúcares,Gullón,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Crackers(Breakfast)",,openfoodfacts
Ain Atlas,Ain Atlas,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters",,openfoodfacts
Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,"Le Fromage Fouetté Madame Loïk, Paysan breton","Zuivelproducten,Gefermenteerde levensmiddelen,Gefermenteerde zuivelproducten,Kazen,Smeerbare producten,Hartige smeerbare producten,Smeerkazen,fr:Fromage fouetté",,openfoodfacts
Sel de table iodé,Star,"Condiments, Salts, Table salts, Groceries, fr:sels-fins",,openfoodfacts
,Gervais,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Plain fermented dairy desserts,Fresh cheeses,fr:Fromages blancs,fr:Fromages blancs natures",,openfoodfacts
Pesto Rosso,Barilla,Red pestos,,openfoodfacts
CRISTALINE Eau De Source 0.5L,Cristaline,"Beverages and beverages preparations,Beverages,Snacks,Waters,Spring waters",,openfoodfacts
Beurre bio cacahuète,Ethiquable,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Légumineuses et dérivés,Produits à tartiner,Pâtes à tartiner végétales,Purées d'oléagineux,Beurres de légumineuses,Beurres de cacahuètes",,openfoodfacts
Flocons d'avoine,Bjorg,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Rolled flakes,Rolled oats",,openfoodfacts
Be Nuts ! - Pâte à tartiner Cacahuète,Andros,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Beurres de cacahuètes",,openfoodfacts
Nutella,"Ferrero, Nutella","en:breakfasts, en:spreads, en:sweet-spreads, fr:pates-a-tartiner, en:hazelnut-spreads, en:chocolate-spreads, en:cocoa-and-hazelnuts-spreads, en:confectionary-based-spreads",,openfoodfacts
KÉFIR,Reina,"Dairies,Milks (liquid and powder),Milks",,openfoodfacts
Biscuit raisins,Gerblé,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Shortbread cookies,Fruit biscuits,Shortbread biscuit with fruits",,openfoodfacts
le blanc nature 900g araai,le berger,"Dairies, Fermented foods, Fermented milk products, Cheeses, fr:fromages-blancs",,openfoodfacts
Henry’s,Henry's,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits",,openfoodfacts
"Muesli Raisin, Figue, Abricot",Bjorg,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales aux fruits,Mueslis,Mueslis aux fruits",,openfoodfacts
NESTLE CHOCAPIC Céréales 375g,"Nestlé, Chocapic","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Céréales pour petit déjeuner enrichies en vitamines et minéraux,Céréales extrudées,Pétales de blé chocolatés,Céréales chocolatées pour petit déjeuner non fourrées mais enrichies en vitamines et minéraux,Céréales pour petit déjeuner riches en fibres",,openfoodfacts
Nutella Plant-Based,"Ferrero,Nutella","Frühstücke,Brotaufstriche,Süße Brotaufstriche,fr:Pâtes à tartiner,Haselnusscremes,Nougatcremes,Schoko- und Haselnussaufstriche",,openfoodfacts
Amandes décortiquées,Alesto,"Plant-based foods and beverages, Plant-based foods, Nuts and their products, Nuts, en:almonds",,openfoodfacts
Tuc Original,"Tuc,LU,Mondelēz","Snack,Snacks salati,Antipasti,en:Biscuits and crackers,Crackers",,openfoodfacts
Шоколад 85% какаова маса,J. D. GROSS,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",,openfoodfacts
Special Muesli 30% fruits & noix,Jordans,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales aux fruits,Mueslis,Mueslis aux fruits",,openfoodfacts
Mayonnaise recette originale,Star,"Condiments,Matières grasses,Sauces,Mayonnaises,en:groceries",,openfoodfacts
Maille Moutarde Fine de Dijon L'Originale Bocal 360g,Maille,"Condiments, Sauces, Moutardes, Moutardes de Dijon",,openfoodfacts
