Product ID,SKU,Product Name,Brand,Category,Subcategory,Description,Original Price ($),Discount (%),Sale Price ($),Currency,Stock Quantity,Stock Status,Rating,Review Count,Weight (kg),Color,Size,Is Featured,Is New Arrival,Is Bestseller,Date Added,Tags,Image URL,Product URL
PROD-000066,ELE-00066-554,LG Elite Wireless Earbuds,LG,Electronics,Computers,Elite Wireless Earbuds by LG. High-quality retail product with excellent durability and performance. Perfect for everyday use.,2493.63,0,2493.63,USD,823,In Stock,3.9,1617,17.38,Multicolor,XS,Yes,No,No,2022-04-25,"electronics, lg, wireless earbuds, elite",https://images.retail-demo.com/electronics/wireless-earbuds-3.jpg,https://retail-demo.com/products/prod-000066
PROD-000330,BEA-00330-555,Fenty Beauty Clarifying Retinol Serum,Fenty Beauty,Beauty & Health,Wellness,Clarifying Retinol Serum by Fenty Beauty. High-quality retail product with excellent durability and performance. Perfect for everyday use.,99.68,10,89.71,USD,2222,In Stock,4.2,6484,21.58,Green,10,No,No,No,2022-12-09,"beauty & health, fenty beauty, retinol serum, clarifying",https://images.retail-demo.com/beauty-health/retinol-serum-2.jpg,https://retail-demo.com/products/prod-000330
PROD-000423,SPO-00423-500,Wilson Professional Pull-Up Bar,Wilson,Sports & Outdoors,Team Sports,Professional Pull-Up Bar by Wilson. High-quality retail product with excellent durability and performance. Perfect for everyday use.,560.4,50,280.2,USD,2701,In Stock,3.8,2488,0.19,Orange,11,No,No,No,2024-06-12,"sports & outdoors, wilson, pull-up bar, professional",https://images.retail-demo.com/sports-outdoors/pull-up-bar-4.jpg,https://retail-demo.com/products/prod-000423
PROD-000135,CLO-00135-450,Puma Formal Ankle Boots,Puma,Clothing & Apparel,Activewear,Formal Ankle Boots by Puma. High-quality retail product with excellent durability and performance. Perfect for everyday use.,162.38,15,138.02,USD,4367,In Stock,4.9,7536,8.92,Silver,12,No,No,Yes,2024-09-18,"clothing & apparel, puma, ankle boots, formal",https://images.retail-demo.com/clothing-apparel/ankle-boots-2.jpg,https://retail-demo.com/products/prod-000135
PROD-000199,FOO-00199-730,Nature Valley Premium Whole Wheat Bread,Nature Valley,Food & Grocery,Organic,Premium Whole Wheat Bread by Nature Valley. High-quality retail product with excellent durability and performance. Perfect for everyday use.,23.11,5,21.95,USD,3372,In Stock,4.3,2485,11.12,Red,S,Yes,Yes,No,2022-09-10,"food & grocery, nature valley, whole wheat bread, premium",https://images.retail-demo.com/food-grocery/whole-wheat-bread-5.jpg,https://retail-demo.com/products/prod-000199
PROD-000034,ELE-00034-727,Lenovo Turbo Power Bank,Lenovo,Electronics,Accessories,Turbo Power Bank by Lenovo. High-quality retail product with excellent durability and performance. Perfect for everyday use.,2470.08,40,1482.05,USD,3625,In Stock,3.6,12379,18.01,Brown,One Size,No,Yes,No,2024-08-30,"electronics, lenovo, power bank, turbo",https://images.retail-demo.com/electronics/power-bank-4.jpg,https://retail-demo.com/products/prod-000034
PROD-000029,ELE-00029-416,HP Premium Smart Display,HP,Electronics,Cameras,Premium Smart Display by HP. High-quality retail product with excellent durability and performance. Perfect for everyday use.,1668.56,0,1668.56,USD,4154,In Stock,4.4,4925,10.27,Navy,10,No,No,No,2022-09-18,"electronics, hp, smart display, premium",https://images.retail-demo.com/electronics/smart-display-2.jpg,https://retail-demo.com/products/prod-000029
PROD-000300,BEA-00300-910,Urban Decay Anti-Aging Body Wash,Urban Decay,Beauty & Health,Hair Care,Anti-Aging Body Wash by Urban Decay. High-quality retail product with excellent durability and performance. Perfect for everyday use.,43.32,5,41.15,USD,4242,In Stock,3.1,3392,9.76,Multicolor,6,Yes,Yes,No,2023-10-26,"beauty & health, urban decay, body wash, anti-aging",https://images.retail-demo.com/beauty-health/body-wash-1.jpg,https://retail-demo.com/products/prod-000300
PROD-000345,BEA-00345-291,NARS Revitalizing Mascara,NARS,Beauty & Health,Fragrance,Revitalizing Mascara by NARS. High-quality retail product with excellent durability and performance. Perfect for everyday use.,86.05,30,60.23,USD,4642,In Stock,4.4,3114,8.76,Orange,6,No,No,No,2022-11-25,"beauty & health, nars, mascara, revitalizing",https://images.retail-demo.com/beauty-health/mascara-1.jpg,https://retail-demo.com/products/prod-000345
PROD-000042,ELE-00042-177,Anker Elite Laptop,Anker,Electronics,Smart Home,Elite Laptop by Anker. High-quality retail product with excellent durability and performance. Perfect for everyday use.,1452.21,20,1161.77,USD,1624,In Stock,3.8,11719,17.3,Purple,L,Yes,No,No,2022-09-05,"electronics, anker, laptop, elite",https://images.retail-demo.com/electronics/laptop-5.jpg,https://retail-demo.com/products/prod-000042
PROD-000579,AUT-00579-413,Bosch Professional Grade Steering Wheel Cover,Bosch,Automotive,Performance,Professional Grade Steering Wheel Cover by Bosch. High-quality retail product with excellent durability and performance. Perfect for everyday use.,358.78,25,269.08,USD,1790,In Stock,4.7,6491,22.23,Pink,M,No,No,Yes,2022-06-23,"automotive, bosch, steering wheel cover, professional grade",https://images.retail-demo.com/automotive/steering-wheel-cover-2.jpg,https://retail-demo.com/products/prod-000579
PROD-000516,AUT-00516-402,Meguiar's All-Weather Chrome Polish,Meguiar's,Automotive,Safety,All-Weather Chrome Polish by Meguiar's. High-quality retail product with excellent durability and performance. Perfect for everyday use.,276.24,10,248.62,USD,3503,In Stock,4.7,8575,1.29,White,N/A,Yes,No,Yes,2022-08-09,"automotive, meguiar's, chrome polish, all-weather",https://images.retail-demo.com/automotive/chrome-polish-5.jpg,https://retail-demo.com/products/prod-000516
PROD-000447,TOY-00447-581,Mattel Limited Edition Remote Control Car,Mattel,Toys & Games,Arts & Crafts,Limited Edition Remote Control Car by Mattel. High-quality retail product with excellent durability and performance. Perfect for everyday use.,72.31,25,54.23,USD,1005,In Stock,4.0,13596,13.34,Gold,7,No,No,No,2024-01-24,"toys & games, mattel, remote control car, limited edition",https://images.retail-demo.com/toys-games/remote-control-car-1.jpg,https://retail-demo.com/products/prod-000447
PROD-000119,CLO-00119-783,Calvin Klein Relaxed Jacket,Calvin Klein,Clothing & Apparel,Kids',Relaxed Jacket by Calvin Klein. High-quality retail product with excellent durability and performance. Perfect for everyday use.,270.61,25,202.96,USD,2618,In Stock,5.0,13284,17.77,Brown,7,No,No,Yes,2022-11-19,"clothing & apparel, calvin klein, jacket, relaxed",https://images.retail-demo.com/clothing-apparel/jacket-2.jpg,https://retail-demo.com/products/prod-000119
PROD-000041,ELE-00041-271,JBL Ultra Webcam,JBL,Electronics,Smart Home,Ultra Webcam by JBL. High-quality retail product with excellent durability and performance. Perfect for everyday use.,1422.99,5,1351.84,USD,3021,In Stock,3.9,4203,15.22,Orange,10,Yes,Yes,No,2023-09-30,"electronics, jbl, webcam, ultra",https://images.retail-demo.com/electronics/webcam-1.jpg,https://retail-demo.com/products/prod-000041
PROD-000329,BEA-00329-531,NYX Revitalizing LED Face Mask,NYX,Beauty & Health,Men's Grooming,Revitalizing LED Face Mask by NYX. High-quality retail product with excellent durability and performance. Perfect for everyday use.,96.59,0,96.59,USD,2763,In Stock,4.7,10500,15.35,Navy,12,Yes,Yes,Yes,2022-11-28,"beauty & health, nyx, led face mask, revitalizing",https://images.retail-demo.com/beauty-health/led-face-mask-3.jpg,https://retail-demo.com/products/prod-000329
PROD-000441,TOY-00441-141,Fisher-Price Glow-in-Dark Robot Kit,Fisher-Price,Toys & Games,Building Toys,Glow-in-Dark Robot Kit by Fisher-Price. High-quality retail product with excellent durability and performance. Perfect for everyday use.,189.51,40,113.71,USD,362,In Stock,4.8,6849,18.36,Brown,XS,No,No,Yes,2024-03-18,"toys & games, fisher-price, robot kit, glow-in-dark",https://images.retail-demo.com/toys-games/robot-kit-4.jpg,https://retail-demo.com/products/prod-000441
PROD-000267,HOM-00267-885,La-Z-Boy Modern Blanket,La-Z-Boy,Home & Furniture,Decor,Modern Blanket by La-Z-Boy. High-quality retail product with excellent durability and performance. Perfect for everyday use.,145.4,50,72.7,USD,4299,In Stock,3.6,11548,14.46,Pink,L,No,No,No,2024-12-07,"home & furniture, la-z-boy, blanket, modern",https://images.retail-demo.com/home-furniture/blanket-5.jpg,https://retail-demo.com/products/prod-000267
PROD-000297,BEA-00297-932,NYX Anti-Aging Moisturizer,NYX,Beauty & Health,Fragrance,Anti-Aging Moisturizer by NYX. High-quality retail product with excellent durability and performance. Perfect for everyday use.,110.47,0,110.47,USD,255,In Stock,4.7,10353,14.51,Silver,8,No,Yes,Yes,2023-06-18,"beauty & health, nyx, moisturizer, anti-aging",https://images.retail-demo.com/beauty-health/moisturizer-5.jpg,https://retail-demo.com/products/prod-000297
PROD-000465,TOY-00465-897,Playmobil Limited Edition Candy Land,Playmobil,Toys & Games,Building Toys,Limited Edition Candy Land by Playmobil. High-quality retail product with excellent durability and performance. Perfect for everyday use.,165.54,0,165.54,USD,3055,In Stock,3.3,4615,10.36,Multicolor,N/A,No,Yes,No,2023-03-23,"toys & games, playmobil, candy land, limited edition",https://images.retail-demo.com/toys-games/candy-land-2.jpg,https://retail-demo.com/products/prod-000465
PROD-000388,SPO-00388-742,Speedo Pro Sleeping Bag,Speedo,Sports & Outdoors,Water Sports,Pro Sleeping Bag by Speedo. High-quality retail product with excellent durability and performance. Perfect for everyday use.,550.53,0,550.53,USD,1272,In Stock,4.3,7893,22.31,Brown,N/A,No,No,Yes,2024-04-27,"sports & outdoors, speedo, sleeping bag, pro",https://images.retail-demo.com/sports-outdoors/sleeping-bag-1.jpg,https://retail-demo.com/products/prod-000388
PROD-000073,CLO-00073-477,Gap Slim Fit Maxi Dress,Gap,Clothing & Apparel,Outerwear,Slim Fit Maxi Dress by Gap. High-quality retail product with excellent durability and performance. Perfect for everyday use.,239.29,0,239.29,USD,3725,In Stock,3.5,2029,18.75,Blue,8,No,No,No,2022-08-10,"clothing & apparel, gap, maxi dress, slim fit",https://images.retail-demo.com/clothing-apparel/maxi-dress-2.jpg,https://retail-demo.com/products/prod-000073
PROD-000371,SPO-00371-727,Under Armour Professional Jump Rope,Under Armour,Sports & Outdoors,Gym & Fitness,Professional Jump Rope by Under Armour. High-quality retail product with excellent durability and performance. Perfect for everyday use.,459.83,40,275.9,USD,4645,In Stock,4.2,9927,14.95,Red,9,Yes,No,No,2022-06-12,"sports & outdoors, under armour, jump rope, professional",https://images.retail-demo.com/sports-outdoors/jump-rope-4.jpg,https://retail-demo.com/products/prod-000371
PROD-000286,HOM-00286-626,Herman Miller Industrial Dining Table,Herman Miller,Home & Furniture,Storage,Industrial Dining Table by Herman Miller. High-quality retail product with excellent durability and performance. Perfect for everyday use.,1089.66,10,980.69,USD,3071,In Stock,3.0,8473,12.77,Beige,XS,No,Yes,No,2023-10-19,"home & furniture, herman miller, dining table, industrial",https://images.retail-demo.com/home-furniture/dining-table-5.jpg,https://retail-demo.com/products/prod-000286
PROD-000117,CLO-00117-240,Puma Formal Sweater,Puma,Clothing & Apparel,Activewear,Formal Sweater by Puma. High-quality retail product with excellent durability and performance. Perfect for everyday use.,285.15,15,242.38,USD,4701,In Stock,3.9,1264,9.24,Green,9,No,Yes,No,2022-08-21,"clothing & apparel, puma, sweater, formal",https://images.retail-demo.com/clothing-apparel/sweater-1.jpg,https://retail-demo.com/products/prod-000117
PROD-000316,BEA-00316-843,Benefit Hydrating Moisturizer,Benefit,Beauty & Health,Wellness,Hydrating Moisturizer by Benefit. High-quality retail product with excellent durability and performance. Perfect for everyday use.,111.84,0,111.84,USD,2330,In Stock,4.8,9009,14.02,Pink,XXL,No,No,Yes,2023-04-09,"beauty & health, benefit, moisturizer, hydrating",https://images.retail-demo.com/beauty-health/moisturizer-5.jpg,https://retail-demo.com/products/prod-000316
PROD-000572,AUT-00572-852,WeatherTech Professional Grade Car Floor Mats,WeatherTech,Automotive,Tools,Professional Grade Car Floor Mats by WeatherTech. High-quality retail product with excellent durability and performance. Perfect for everyday use.,279.73,25,209.8,USD,3938,In Stock,4.2,3921,23.82,Green,11,No,Yes,No,2024-03-30,"automotive, weathertech, car floor mats, professional grade",https://images.retail-demo.com/automotive/car-floor-mats-2.jpg,https://retail-demo.com/products/prod-000572
PROD-000363,BEA-00363-308,NYX Revitalizing Highlighter,NYX,Beauty & Health,Fragrance,Revitalizing Highlighter by NYX. High-quality retail product with excellent durability and performance. Perfect for everyday use.,73.31,15,62.31,USD,1735,In Stock,3.4,8819,13.13,Blue,7,No,No,No,2022-10-17,"beauty & health, nyx, highlighter, revitalizing",https://images.retail-demo.com/beauty-health/highlighter-1.jpg,https://retail-demo.com/products/prod-000363
PROD-000385,SPO-00385-846,Fitbit Training Snorkel Set,Fitbit,Sports & Outdoors,Cycling,Training Snorkel Set by Fitbit. High-quality retail product with excellent durability and performance. Perfect for everyday use.,218.76,0,218.76,USD,4257,In Stock,4.2,8137,12.49,Silver,M,No,No,No,2023-02-01,"sports & outdoors, fitbit, snorkel set, training",https://images.retail-demo.com/sports-outdoors/snorkel-set-1.jpg,https://retail-demo.com/products/prod-000385
PROD-000077,CLO-00077-121,Levi's Premium Denim Jacket,Levi's,Clothing & Apparel,Men's,Premium Denim Jacket by Levi's. High-quality retail product with excellent durability and performance. Perfect for everyday use.,290.77,25,218.08,USD,4891,In Stock,3.2,3480,19.69,Red,M,No,Yes,No,2023-03-01,"clothing & apparel, levi's, denim jacket, premium",https://images.retail-demo.com/clothing-apparel/denim-jacket-5.jpg,https://retail-demo.com/products/prod-000077
PROD-000223,HOM-00223-681,Wayfair Scandinavian Console Table,Wayfair,Home & Furniture,Lighting,Scandinavian Console Table by Wayfair. High-quality retail product with excellent durability and performance. Perfect for everyday use.,1193.18,15,1014.2,USD,2880,In Stock,4.8,467,3.64,Red,12,No,No,No,2023-09-25,"home & furniture, wayfair, console table, scandinavian",https://images.retail-demo.com/home-furniture/console-table-2.jpg,https://retail-demo.com/products/prod-000223
PROD-000288,HOM-00288-138,Article Rustic Curtains,Article,Home & Furniture,Living Room,Rustic Curtains by Article. High-quality retail product with excellent durability and performance. Perfect for everyday use.,1498.83,0,1498.83,USD,2717,In Stock,3.0,11750,1.92,Gray,11,No,No,No,2022-05-25,"home & furniture, article, curtains, rustic",https://images.retail-demo.com/home-furniture/curtains-5.jpg,https://retail-demo.com/products/prod-000288
PROD-000264,HOM-00264-436,Herman Miller Rustic Ceiling Light,Herman Miller,Home & Furniture,Dining,Rustic Ceiling Light by Herman Miller. High-quality retail product with excellent durability and performance. Perfect for everyday use.,208.09,0,208.09,USD,1396,In Stock,3.0,2272,22.37,Pink,XL,Yes,No,No,2023-12-03,"home & furniture, herman miller, ceiling light, rustic",https://images.retail-demo.com/home-furniture/ceiling-light-2.jpg,https://retail-demo.com/products/prod-000264
PROD-000247,HOM-00247-722,La-Z-Boy Minimalist Sofa,La-Z-Boy,Home & Furniture,Storage,Minimalist Sofa by La-Z-Boy. High-quality retail product with excellent durability and performance. Perfect for everyday use.,1301.79,40,781.07,USD,2067,In Stock,4.6,3671,23.58,Orange,10,No,No,No,2024-02-11,"home & furniture, la-z-boy, sofa, minimalist",https://images.retail-demo.com/home-furniture/sofa-3.jpg,https://retail-demo.com/products/prod-000247
PROD-000136,CLO-00136-806,Levi's Athletic Sneakers,Levi's,Clothing & Apparel,Outerwear,Athletic Sneakers by Levi's. High-quality retail product with excellent durability and performance. Perfect for everyday use.,96.55,10,86.89,USD,1698,In Stock,4.5,11554,12.28,Beige,XXL,No,No,Yes,2022-09-07,"clothing & apparel, levi's, sneakers, athletic",https://images.retail-demo.com/clothing-apparel/sneakers-5.jpg,https://retail-demo.com/products/prod-000136
PROD-000024,ELE-00024-735,Lenovo Plus USB Hub,Lenovo,Electronics,Cameras,Plus USB Hub by Lenovo. High-quality retail product with excellent durability and performance. Perfect for everyday use.,1677.32,15,1425.72,USD,3329,In Stock,4.6,14490,3.95,Multicolor,L,No,Yes,Yes,2024-04-24,"electronics, lenovo, usb hub, plus",https://images.retail-demo.com/electronics/usb-hub-1.jpg,https://retail-demo.com/products/prod-000024
PROD-000398,SPO-00398-337,Adidas Pro Portable Grill,Adidas,Sports & Outdoors,Gym & Fitness,Pro Portable Grill by Adidas. High-quality retail product with excellent durability and performance. Perfect for everyday use.,193.12,50,96.56,USD,3854,In Stock,4.4,7630,3.68,Multicolor,8,No,No,Yes,2024-03-13,"sports & outdoors, adidas, portable grill, pro",https://images.retail-demo.com/sports-outdoors/portable-grill-2.jpg,https://retail-demo.com/products/prod-000398
PROD-000068,ELE-00068-394,Lenovo Elite Power Bank,Lenovo,Electronics,Cameras,Elite Power Bank by Lenovo. High-quality retail product with excellent durability and performance. Perfect for everyday use.,1165.13,50,582.57,USD,3811,In Stock,3.0,13188,13.71,White,6,No,No,No,2023-09-05,"electronics, lenovo, power bank, elite",https://images.retail-demo.com/electronics/power-bank-4.jpg,https://retail-demo.com/products/prod-000068
PROD-000263,HOM-00263-567,Floyd Traditional Dining Chair,Floyd,Home & Furniture,Dining,Traditional Dining Chair by Floyd. High-quality retail product with excellent durability and performance. Perfect for everyday use.,168.59,0,168.59,USD,1893,In Stock,4.8,10561,6.68,Black,S,No,Yes,Yes,2023-08-19,"home & furniture, floyd, dining chair, traditional",https://images.retail-demo.com/home-furniture/dining-chair-3.jpg,https://retail-demo.com/products/prod-000263
PROD-000001,ELE-00001-189,Asus Elite Laptop,Asus,Electronics,Smart Home,Elite Laptop by Asus. High-quality retail product with excellent durability and performance. Perfect for everyday use.,634.87,0,634.87,USD,4467,In Stock,4.5,11092,10.61,Black,S,No,Yes,Yes,2024-10-31,"electronics, asus, laptop, elite",https://images.retail-demo.com/electronics/laptop-5.jpg,https://retail-demo.com/products/prod-000001
PROD-000382,SPO-00382-686,REI Waterproof Yoga Mat,REI,Sports & Outdoors,Yoga,Waterproof Yoga Mat by REI. High-quality retail product with excellent durability and performance. Perfect for everyday use.,105.18,10,94.66,USD,4873,In Stock,4.2,11334,14.1,Beige,10,No,Yes,No,2022-07-10,"sports & outdoors, rei, yoga mat, waterproof",https://images.retail-demo.com/sports-outdoors/yoga-mat-3.jpg,https://retail-demo.com/products/prod-000382
PROD-000175,FOO-00175-689,Tropicana Vegan Olive Oil,Tropicana,Food & Grocery,International,Vegan Olive Oil by Tropicana. High-quality retail product with excellent durability and performance. Perfect for everyday use.,10.52,20,8.42,USD,4022,In Stock,4.9,4780,6.14,Navy,XL,No,No,No,2022-08-22,"food & grocery, tropicana, olive oil, vegan",https://images.retail-demo.com/food-grocery/olive-oil-5.jpg,https://retail-demo.com/products/prod-000175
PROD-000542,AUT-00542-972,Husky Liners All-Weather Steering Wheel Cover,Husky Liners,Automotive,Performance,All-Weather Steering Wheel Cover by Husky Liners. High-quality retail product with excellent durability and performance. Perfect for everyday use.,378.07,15,321.36,USD,4928,In Stock,4.8,1950,2.85,Green,8,No,Yes,No,2024-12-06,"automotive, husky liners, steering wheel cover, all-weather",https://images.retail-demo.com/automotive/steering-wheel-cover-2.jpg,https://retail-demo.com/products/prod-000542
PROD-000212,FOO-00212-828,Kellogg's Sugar-Free Dried Fruit,Kellogg's,Food & Grocery,Pantry,Sugar-Free Dried Fruit by Kellogg's. High-quality retail product with excellent durability and performance. Perfect for everyday use.,27.42,5,26.05,USD,1166,In Stock,3.8,986,2.42,Multicolor,L,No,No,No,2024-07-27,"food & grocery, kellogg's, dried fruit, sugar-free",https://images.retail-demo.com/food-grocery/dried-fruit-1.jpg,https://retail-demo.com/products/prod-000212
PROD-000046,ELE-00046-600,Dell Pro Drone,Dell,Electronics,Smart Home,Pro Drone by Dell. High-quality retail product with excellent durability and performance. Perfect for everyday use.,1306.06,5,1240.76,USD,3329,In Stock,3.2,11802,18.98,Orange,6,No,No,No,2022-02-05,"electronics, dell, drone, pro",https://images.retail-demo.com/electronics/drone-1.jpg,https://retail-demo.com/products/prod-000046
PROD-000271,HOM-00271-449,CB2 Industrial Bench,CB2,Home & Furniture,Dining,Industrial Bench by CB2. High-quality retail product with excellent durability and performance. Perfect for everyday use.,1782.41,30,1247.69,USD,3737,In Stock,3.4,11006,20.65,Gold,L,No,No,No,2024-08-26,"home & furniture, cb2, bench, industrial",https://images.retail-demo.com/home-furniture/bench-3.jpg,https://retail-demo.com/products/prod-000271
PROD-000255,HOM-00255-690,Article Modern Ceiling Light,Article,Home & Furniture,Storage,Modern Ceiling Light by Article. High-quality retail product with excellent durability and performance. Perfect for everyday use.,29.32,10,26.39,USD,1381,In Stock,3.4,12678,4.05,Silver,11,Yes,Yes,No,2024-06-07,"home & furniture, article, ceiling light, modern",https://images.retail-demo.com/home-furniture/ceiling-light-4.jpg,https://retail-demo.com/products/prod-000255
PROD-000188,FOO-00188-662,Quaker Gluten-Free Honey,Quaker,Food & Grocery,Supplements,Gluten-Free Honey by Quaker. High-quality retail product with excellent durability and performance. Perfect for everyday use.,10.06,25,7.54,USD,4057,In Stock,4.1,12662,2.92,White,XL,No,No,No,2022-03-27,"food & grocery, quaker, honey, gluten-free",https://images.retail-demo.com/food-grocery/honey-4.jpg,https://retail-demo.com/products/prod-000188
PROD-000457,TOY-00457-251,Hot Wheels Glow-in-Dark Jenga,Hot Wheels,Toys & Games,Arts & Crafts,Glow-in-Dark Jenga by Hot Wheels. High-quality retail product with excellent durability and performance. Perfect for everyday use.,122.98,0,122.98,USD,3256,In Stock,4.8,5920,21.36,Green,One Size,No,Yes,Yes,2023-08-06,"toys & games, hot wheels, jenga, glow-in-dark",https://images.retail-demo.com/toys-games/jenga-3.jpg,https://retail-demo.com/products/prod-000457
PROD-000152,FOO-00152-858,Nature Valley Organic Protein Bars,Nature Valley,Food & Grocery,Beverages,Organic Protein Bars by Nature Valley. High-quality retail product with excellent durability and performance. Perfect for everyday use.,23.42,50,11.71,USD,2004,In Stock,4.4,802,10.12,Red,7,No,Yes,No,2022-10-14,"food & grocery, nature valley, protein bars, organic",https://images.retail-demo.com/food-grocery/protein-bars-5.jpg,https://retail-demo.com/products/prod-000152
PROD-000256,HOM-00256-114,Herman Miller Contemporary Throw Pillow,Herman Miller,Home & Furniture,Dining,Contemporary Throw Pillow by Herman Miller. High-quality retail product with excellent durability and performance. Perfect for everyday use.,778.96,0,778.96,USD,3056,In Stock,4.1,11976,18.95,Brown,L,Yes,Yes,No,2023-05-25,"home & furniture, herman miller, throw pillow, contemporary",https://images.retail-demo.com/home-furniture/throw-pillow-2.jpg,https://retail-demo.com/products/prod-000256
PROD-000180,FOO-00180-456,Campbell's Non-GMO Protein Bars,Campbell's,Food & Grocery,Pantry,Non-GMO Protein Bars by Campbell's. High-quality retail product with excellent durability and performance. Perfect for everyday use.,46.18,0,46.18,USD,1160,In Stock,3.2,11967,8.64,Silver,L,No,No,No,2024-09-02,"food & grocery, campbell's, protein bars, non-gmo",https://images.retail-demo.com/food-grocery/protein-bars-1.jpg,https://retail-demo.com/products/prod-000180
PROD-000397,SPO-00397-937,Speedo Training Golf Club Set,Speedo,Sports & Outdoors,Gym & Fitness,Training Golf Club Set by Speedo. High-quality retail product with excellent durability and performance. Perfect for everyday use.,381.38,25,286.03,USD,2722,In Stock,4.2,5124,17.85,Purple,11,Yes,No,No,2022-09-27,"sports & outdoors, speedo, golf club set, training",https://images.retail-demo.com/sports-outdoors/golf-club-set-1.jpg,https://retail-demo.com/products/prod-000397
